Company,Diameter,Configuration,Specification
TCI Europe,10-30nm,pure,
TCI Europe,10-30nm,pure,
Alfa Chemistry,10nm,,allowable temperature limit : 620�C
Alfa Chemistry,10nm,,
Nanocs,10nm,pure,
Nanocyl S.A.,10nm,pure,"CCVD, L(0.1-10)"
Nanocyl S.A.,10nm,pure,"CCVD, C-MWNT-COOH, L(0.1-10)"
Nanocyl S.A.,10nm,pure,"CCVD, C-MWNT-OH, L(<1)"
Nanocyl S.A.,10nm,pure,"CCVD, C-MWNT-SH, L(<1)"
TCI Europe,10nm,pure,
TCI Europe,10nm,pure,
XinNano Materials,10nm,,Avg. Value of ID/IG =1.26 Surface Area (m2/g) =224.42
NanoLab,15-45nm,functionalized,
NanoLab,15-45nm,functionalized,
NanoLab,15-45nm,pure,
NanoLab,15-45nm,pure,
NanoLab,15-45nm,functionalized,
NanoLab,15-45nm,functionalized,
NanoLab,15-45nm,functionalized,
NanoLab,15-45nm,functionalized,
NanoLab,15-45nm,functionalized,
NanoLab,15-45nm,functionalized,
FutureCarbon GmbH,15nm,pure,
United Nanotech Innovations Pvt.Ltd,20 nm,Black powder,Functionalized Carboxyl MWCNT
Nanochemazone,"20-30 nm (O.D), 2 -5 nm (I.D) (Customization possible)",,Nanopowder/Nanodispersion
Nanochemazone,"20-30 nm (O.D), 3-5 nm (I.D)",,Nanopowder/Nanodispersion
Nanochemazone,"20-30 nm (O.D), 5-7 nm (I.D) (Customization possible)",,Nanopowder
Arry International Group,20-30nm,functionalized,
Arry International Group,20-30nm,functionalized,
Arry International Group,20-30nm,pure,
Arry International Group,20-30nm,pure,
"Cheap Tubes, Inc.",20-30nm,functionalized,
"Cheap Tubes, Inc.",20-30nm,functionalized,
"Cheap Tubes, Inc.",20-30nm,pure,
"Cheap Tubes, Inc.",20-30nm,functionalized,
"Cheap Tubes, Inc.",20-30nm,functionalized,
"Cheap Tubes, Inc.",20-30nm,pure,
"Chengdu Alpha Nano Technology Co., Ltd.",20-30nm,pure,
"Chengdu Alpha Nano Technology Co., Ltd.",20-30nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",20-30nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",20-30nm,pure,
"Chengdu Alpha Nano Technology Co., Ltd.",20-30nm,pure,
"Chengdu Alpha Nano Technology Co., Ltd.",20-30nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",20-30nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",20-30nm,pure,
Chengdu Organic Chemicals Co. Ltd.,20-30nm,pure,
Chengdu Organic Chemicals Co. Ltd.,20-30nm,functionalized,
Chengdu Organic Chemicals Co. Ltd.,20-30nm,functionalized,
Chengdu Organic Chemicals Co. Ltd.,20-30nm,pure,
"HeJi, Inc.",20-30nm,pure,
"HeJi, Inc.",20-30nm,pure,L(500nm or 2000nm) shortCNT
"HeJi, Inc.",20-30nm,functionalized,
"HeJi, Inc.",20-30nm,functionalized,
IoLiTec,20-30nm,functionalized,
IoLiTec,20-30nm,functionalized,
IoLiTec,20-30nm,functionalized,
IoLiTec,20-30nm,functionalized,
Nanoshel,20-30nm,NH2 Modified MWCNT,MWCNT-NH2 (>98wt% OD:20-30nm Length:15-30um NH2: 2-3Wt%)
Nanoshel,20-30nm,Electrical-Grade MWCNT,"High Purity Electrical-Grade (MWCNT >99%, OD: 20-30nm)"
Sisco Research Laboratories Pvt. Ltd.,20-30nm,pure,
"SkySpring Nanomaterials, Inc.",20-30nm,pure,
"SkySpring Nanomaterials, Inc.",20-30nm,pure,
"SkySpring Nanomaterials, Inc.",20-30nm,pure,
"SkySpring Nanomaterials, Inc.",20-30nm,pure,
"SkySpring Nanomaterials, Inc.",20-30nm,pure,
"SkySpring Nanomaterials, Inc.",20-30nm,pure,
Sun Innovations,20-30nm,pure,
Sun Innovations,20-30nm,functionalized,
Sun Innovations,20-30nm,functionalized,
Sun Innovations,20-30nm,pure,
XP Nano Material Co. Ltd.,20-30nm,pure,
XP Nano Material Co. Ltd.,20-30nm,pure,
XP Nano Material Co. Ltd.,20-30nm,pure,
XP Nano Material Co. Ltd.,20-30nm,pure,
XP Nano Material Co. Ltd.,20-30nm,pure,
XP Nano Material Co. Ltd.,20-30nm,pure,
Alfa Chemistry,20-40nm,,
Alfa Chemistry,20-40nm,,
Arry International Group,20-40nm,pure,
"Cheap Tubes, Inc.",20-40nm,functionalized,
"Cheap Tubes, Inc.",20-40nm,functionalized,
"Cheap Tubes, Inc.",20-40nm,pure,
"Cheap Tubes, Inc.",20-40nm,functionalized,
"Cheap Tubes, Inc.",20-40nm,pure,
"Cheap Tubes, Inc.",20-40nm,functionalized,
Chengdu Organic Chemicals Co. Ltd.,20-40nm,pure,
"HeJi, Inc.",20-40nm,pure,
"HeJi, Inc.",20-40nm,pure,L(500nm or 2000nm) shortCNT
"HeJi, Inc.",20-40nm,functionalized,
"HeJi, Inc.",20-40nm,functionalized,
IoLiTec,20-40nm,pure,
IoLiTec,20-40nm,pure,
IoLiTec,20-40nm,pure,
IoLiTec,20-40nm,pure,
MicrotechNano,20-40nm,pure,
NanoLab,20-40nm,pure,
NanoLab,20-40nm,functionalized,
NanoLab,20-40nm,functionalized,
NanoLab,20-40nm,functionalized,
"NanoTechLabs, Inc.",20-40nm,doped,
"NanoTechLabs, Inc.",20-40nm,doped,
"NanoTechLabs, Inc.",20-40nm,pure,L(1-3mm) extra long
Sun Innovations,20-40nm,pure,
Sun Innovations,20-40nm,pure,
TCI Europe,20-40nm,pure,
TCI Europe,20-40nm,pure,
TCI Europe,20-40nm,pure,
TCI Europe,20-40nm,pure,
BT Corp,20nm,pure,
BT Corp,20nm,pure,
Nanocs,20nm,pure,
"Chengdu Alpha Nano Technology Co., Ltd.",3-10nm,pure,
"Chengdu Alpha Nano Technology Co., Ltd.",3-10nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",3-10nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",3-10nm,pure,
"Chengdu Alpha Nano Technology Co., Ltd.",3-10nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",3-10nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",3-10nm,pure,
Alfa Chemistry,30-50nm,,
Alfa Chemistry,30-50nm,,Appearance Dark needle-like crystals
Arry International Group,30-50nm,functionalized,
Arry International Group,30-50nm,functionalized,
Arry International Group,30-50nm,pure,
Arry International Group,30-50nm,pure,
"Cheap Tubes, Inc.",30-50nm,functionalized,
"Cheap Tubes, Inc.",30-50nm,pure,
"Cheap Tubes, Inc.",30-50nm,functionalized,
"Cheap Tubes, Inc.",30-50nm,pure,
"Cheap Tubes, Inc.",30-50nm,functionalized,
"Cheap Tubes, Inc.",30-50nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",30-50nm,pure,
"Chengdu Alpha Nano Technology Co., Ltd.",30-50nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",30-50nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",30-50nm,pure,
"Chengdu Alpha Nano Technology Co., Ltd.",30-50nm,pure,
"Chengdu Alpha Nano Technology Co., Ltd.",30-50nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",30-50nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",30-50nm,pure,
Chengdu Organic Chemicals Co. Ltd.,30-50nm,pure,
Chengdu Organic Chemicals Co. Ltd.,30-50nm,pure,
Chengdu Organic Chemicals Co. Ltd.,30-50nm,functionalized,
Chengdu Organic Chemicals Co. Ltd.,30-50nm,functionalized,
"HeJi, Inc.",30-50nm,pure,
"HeJi, Inc.",30-50nm,pure,L(500nm or 2000nm) shortCNT
"HeJi, Inc.",30-50nm,functionalized,
"HeJi, Inc.",30-50nm,functionalized,
IoLiTec,30-50nm,functionalized,
IoLiTec,30-50nm,functionalized,
Sisco Research Laboratories Pvt. Ltd.,30-50nm,pure,
Sisco Research Laboratories Pvt. Ltd.,30-50nm,pure,
Sisco Research Laboratories Pvt. Ltd.,30-50nm,pure,
Sisco Research Laboratories Pvt. Ltd.,30-50nm,pure,
"SkySpring Nanomaterials, Inc.",30-50nm,pure,
"SkySpring Nanomaterials, Inc.",30-50nm,pure,
"SkySpring Nanomaterials, Inc.",30-50nm,pure,
"SkySpring Nanomaterials, Inc.",30-50nm,pure,
"SkySpring Nanomaterials, Inc.",30-50nm,pure,
"SkySpring Nanomaterials, Inc.",30-50nm,pure,
"SkySpring Nanomaterials, Inc.",30-50nm,pure,
"SkySpring Nanomaterials, Inc.",30-50nm,pure,
"SkySpring Nanomaterials, Inc.",30-50nm,pure,
"SkySpring Nanomaterials, Inc.",30-50nm,pure,
"SkySpring Nanomaterials, Inc.",30-50nm,pure,
"SkySpring Nanomaterials, Inc.",30-50nm,pure,
Sun Innovations,30-50nm,pure,
Sun Innovations,30-50nm,functionalized,
Sun Innovations,30-50nm,functionalized,
Sun Innovations,30-50nm,pure,
XP Nano Material Co. Ltd.,30-50nm,pure,
XP Nano Material Co. Ltd.,30-50nm,pure,
XP Nano Material Co. Ltd.,30-50nm,pure,
XP Nano Material Co. Ltd.,30-50nm,pure,
XP Nano Material Co. Ltd.,30-50nm,pure,
XP Nano Material Co. Ltd.,30-50nm,pure,
XinNano Materials,4 nm,,turn-on field (10mA/cm2 @ <2V/um Avg. Value of ID/IG =0.26 Surface Area (m2/g) =377.11
Alfa Chemistry,40-60nm,,
Alfa Chemistry,40-60nm,,
IoLiTec,40-60nm,pure,
IoLiTec,40-60nm,pure,
IoLiTec,40-60nm,pure,
IoLiTec,40-60nm,pure,
MicrotechNano,40-60nm,pure,
SES Research,40-60nm,pure,
SES Research,40-60nm,pure,
TCI Europe,40-60nm,pure,
TCI Europe,40-60nm,pure,
TCI Europe,40-60nm,pure,
TCI Europe,40-60nm,pure,
Ultrananotech,5 nm to any diameter,,
Arry International Group,5-10nm,pure,
Arry International Group,5-10nm,pure,
Arry International Group,5-10nm,functionalized,
Arry International Group,5-10nm,functionalized,
Platonic Nanotech Pvt. Ltd.,5-20 nm,,
PlasmaChem GmbH,5-20nm,pure,
United Nanotech Innovations Pvt.Ltd,5-20nm,powder,
"NanoTechLabs, Inc.",5-30nm,pure,
"Chengdu Alpha Nano Technology Co., Ltd.",50-100nm,pure,
"Chengdu Alpha Nano Technology Co., Ltd.",50-100nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",50-100nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",50-100nm,pure,
"Chengdu Alpha Nano Technology Co., Ltd.",50-100nm,pure,
"Chengdu Alpha Nano Technology Co., Ltd.",50-100nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",50-100nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",50-100nm,pure,
"SkySpring Nanomaterials, Inc.",50-100nm,pure,
"SkySpring Nanomaterials, Inc.",50-100nm,pure,
"SkySpring Nanomaterials, Inc.",50-100nm,pure,
"SkySpring Nanomaterials, Inc.",50-100nm,pure,
"SkySpring Nanomaterials, Inc.",50-100nm,pure,
"SkySpring Nanomaterials, Inc.",50-100nm,pure,
Alfa Chemistry,60-100nm,,
"Cheap Tubes, Inc.",60-100nm,functionalized,
IoLiTec,60-100nm,pure,
IoLiTec,60-100nm,pure,
IoLiTec,60-100nm,pure,
IoLiTec,60-100nm,pure,
MicrotechNano,60-100nm,pure,
SES Research,60-100nm,pure,
SES Research,60-100nm,pure,
TCI Europe,60-100nm,pure,
TCI Europe,60-100nm,pure,
TCI Europe,60-100nm,pure,
TCI Europe,60-100nm,pure,
"NanoTechLabs, Inc.",70-80nm,pure,
XinNano Materials,7nm,pure,Turn-on Field (V/μm) =0.87 Avg. Value of ID/IG =0.25 Surface Area (m2/g) =194.55
"Cheap Tubes, Inc.",8-15nm,functionalized,
"Cheap Tubes, Inc.",8-15nm,pure,
"Cheap Tubes, Inc.",8-15nm,pure,
"Cheap Tubes, Inc.",8-15nm,functionalized,
"Cheap Tubes, Inc.",8-15nm,functionalized,
"Cheap Tubes, Inc.",8-15nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",8-15nm,pure,
"Chengdu Alpha Nano Technology Co., Ltd.",8-15nm,pure,
Chengdu Organic Chemicals Co. Ltd.,8-15nm,pure,
"HeJi, Inc.",8-15nm,pure,
"HeJi, Inc.",8-15nm,pure,L(500nm or 2000nm) shortCNT
"HeJi, Inc.",8-15nm,functionalized,
"HeJi, Inc.",8-15nm,functionalized,
IoLiTec,8-15nm,functionalized,
IoLiTec,8-15nm,functionalized,
IoLiTec,8-15nm,functionalized,
IoLiTec,8-15nm,functionalized,
Sisco Research Laboratories Pvt. Ltd.,8-15nm,pure,
Sun Innovations,8-15nm,pure,
Sun Innovations,8-15nm,pure,
XP Nano Material Co. Ltd.,8-15nm,pure,
XP Nano Material Co. Ltd.,8-15nm,pure,
XP Nano Material Co. Ltd.,8-15nm,pure,
XP Nano Material Co. Ltd.,8-15nm,pure,
XP Nano Material Co. Ltd.,8-15nm,pure,
Nanocs,80-150nm,pure,
"Catalytic Materials, LLC",8nm,pure,
XinNano Materials,8nm,,Turn-on Field (V/μm) =0.75 Avg. Value of ID/IG =0.29 Surface Area (m2/g) =488.74
XinNano Materials,8nm,,Avg. Value of ID/IG =0.31 Surface Area (m2/g) =322.63
Nanocyl S.A.,9.5 nm,functionalized,C-MWNT-COOH
Nanocyl S.A.,9.5 nm,,CCVD
Nanocyl S.A.,9.5 nm,fonctionalized,"CCVD, C-MWNT-COOH,"
Nanocyl S.A.,9.5 nm,fonctionalized,"CCVD, C-MWNT-NH2"
Nanotech Innovations,90-110nm,array,"High quality, vertically aligned CNT 10mm x 10mm x 1mm on a quartz or silicon substrate"
IoLiTec,<10nm,pure,
IoLiTec,<10nm,pure,
MicrotechNano,<10nm,pure,
Nanothinx S.A.,<10nm,pure,
SES Research,<10nm,pure,
SES Research,<10nm,pure,
TCI Europe,<10nm,pure,
TCI Europe,<10nm,pure,
TCI Europe,<10nm,pure,
TCI Europe,<10nm,pure,
"Cheap Tubes, Inc.",<80nm,functionalized,
"Cheap Tubes, Inc.",<80nm,functionalized,
"Cheap Tubes, Inc.",<8nm,functionalized,
"Cheap Tubes, Inc.",<8nm,pure,
"Cheap Tubes, Inc.",<8nm,pure,
"Cheap Tubes, Inc.",<8nm,functionalized,
Chengdu Organic Chemicals Co. Ltd.,<8nm,pure,
Chengdu Organic Chemicals Co. Ltd.,<8nm,pure,
Chengdu Organic Chemicals Co. Ltd.,<8nm,functionalized,
Chengdu Organic Chemicals Co. Ltd.,<8nm,functionalized,
"HeJi, Inc.",<8nm,functionalized,
"HeJi, Inc.",<8nm,functionalized,
"HeJi, Inc.",<8nm,pure,
"HeJi, Inc.",<8nm,pure,L(500nm or 2000nm) shortCNT
Sisco Research Laboratories Pvt. Ltd.,<8nm,pure,
"SkySpring Nanomaterials, Inc.",<8nm,pure,
"SkySpring Nanomaterials, Inc.",<8nm,pure,
"SkySpring Nanomaterials, Inc.",<8nm,pure,
"SkySpring Nanomaterials, Inc.",<8nm,pure,
"SkySpring Nanomaterials, Inc.",<8nm,pure,
"SkySpring Nanomaterials, Inc.",<8nm,pure,
Sun Innovations,<8nm,pure,
Sun Innovations,<8nm,functionalized,
Sun Innovations,<8nm,functionalized,
Sun Innovations,<8nm,pure,
XP Nano Material Co. Ltd.,<8nm,pure,
XP Nano Material Co. Ltd.,<8nm,pure,
XP Nano Material Co. Ltd.,<8nm,pure,
XP Nano Material Co. Ltd.,<8nm,pure,
XP Nano Material Co. Ltd.,<8nm,pure,
Arry International Group,>50nm,pure,
Arry International Group,>50nm,functionalized,
Arry International Group,>50nm,functionalized,
Arry International Group,>50nm,pure,
Arry International Group,>50nm,pure,
