Company	Material	Diameter
UP Catalyst	Sustainable carbon nanofibers	
Nanoshel	Tin Nanopowder	<80nm
Alfa Chemistry	titania nanofiber urchin	10nm in 1 micron
Novarials Corporation	titania nanofiber urchin	10nm in 1 micron
Alfa Chemistry	Titanium Nanopowder	<80nm
Nanoshel	Titanium Nanopowder	<80nm
Alfa Chemistry	Titanium oxide AB-nanofiber	100-200 nm
Alfa Chemistry	Titanium oxide B-nanofiber	100-200 nm
Alfa Chemistry	Titanium Oxide Nanopowder	>10-25nm
Nanoshel	Titanium Oxide Nanopowder	>10-25nm
Alfa Chemistry	Tungsten Carbide Nanopowder	30-100nm
Nanoshel	Tungsten Carbide Nanopowder	30-100nm
Nanoshel	Tungsten Oxide Nanopowder	60nm
Alfa Chemistry	Tungsten Oxide Nanopowder	60nm
Alfa Chemistry	Zinc Nanopowder	<80nm
Nanoshel	Zinc Nanopowder	<80nm
Alfa Chemistry	Zinc Oxide Nano Powder	35-45nm
Nanoshel	Zinc Oxide Nano Powder	35-45nm
