Company	Product	Diameter
Novarials Corporation	Silver nanowire inks	~30nm
Alfa Chemistry	Silver nanowire membranes	20, 30, 50, 70 nm
Novarials Corporation	Silver nanowire membranes (20nm)	20nm
Alfa Chemistry	Silver nanowire membranes (30nm)	30nm
Novarials Corporation	Silver nanowire membranes (30nm)	30nm
Novarials Corporation	Silver nanowire membranes (50nm)	50nm
ACS Material, LLC	Silver Nanowires	120nm
ACS Material, LLC	Silver Nanowires	200nm
ACS Material, LLC	Silver Nanowires	40nm
ACS Material, LLC	Silver Nanowires	50nm
ACS Material, LLC	Silver Nanowires	60nm
Nanochemazone	Silver Nanowires	40-50 nm (Customization is possible)
nanoComposix, Inc.	Silver Nanowires	40-200nm
NanoTechLabs, Inc.	Silver Nanowires	
PlasmaChem GmbH	Silver Nanowires	50nm
PlasmaChem GmbH	Silver Nanowires	100nm
PlasmaChem GmbH	Silver Nanowires	200nm
ras materials GmbH	Silver Nanowires	30-50
Sisco Research Laboratories Pvt. Ltd.	Silver Nanowires	100nm
Novarials Corporation	Silver nanowires (50nm*150um)	50nm
Alfa Chemistry	silver nanowires (70nm*150um)	
Alfa Chemistry	silver nanowires (70nm*150um)	70nm*150um
Novarials Corporation	silver nanowires (70nm*150um)	50nm*150um
Alfa Chemistry	Silver nanowries (30nm*150um)	30nm*150um
Novarials Corporation	Silver nanowries (30nm*150um)	30nm
Alfa Chemistry	Sodium Ammonium Tri Molybdate Nanowire	80 nm
Nanochemazone	Sodium Ammonium Tri Molybdate Nanowires	80 nm (customization available)
Alfa Chemistry	Sodium Ammonium Trimolybdate Nanowires	80nm
Novarials Corporation	Sodium ammonium trimolybdate nanowires	~80nm
Alfa Chemistry	Sodium titanate	
Novarials Corporation	Sodium titanate	~100nm
Nanochemazone	Tellurium Nanowire	20 nm (customization available)
Alfa Chemistry	Tellurium Nanowires	20nm
Novarials Corporation	Tellurium Nanowires	20nm
Alfa Chemistry	Tin Oxide Nanowires	
Alfa Chemistry	Titania nanowire A	~10nm
Novarials Corporation	Titania nanowire A	~10nm
Alfa Chemistry	Titania nanowire B	~100nm
Novarials Corporation	Titania nanowire B	~100nm
Alfa Chemistry	Titania nanowire coating ink	~10nm
Novarials Corporation	Titania nanowire coating ink	~10nm
Alfa Chemistry	Titania nanowire Industry A	~10nm
Novarials Corporation	Titania nanowire Industry A	~10nm
Alfa Chemistry	Titania nanowire Industry B	~100nm
Novarials Corporation	Titania nanowire Industry B	~100nm
ACS Material, LLC	Titania Nanowires	10nm
ACS Material, LLC	Titania Nanowires	100nm
Alfa Chemistry	Titania Nanowires	10nm
Alfa Chemistry	Titanium	30-50nm
Alfa Chemistry	Titanium Dioxide Nanowire	50-100 nm
Nanochemazone	Titanium Dioxide Nanowire	50-100 nm (Customization is possible)
Alfa Chemistry	Titanium Dioxide Nanowires	
Alfa Chemistry	Titanium Dioxide Nanowires (Type 1)	
Alfa Chemistry	Titanium Dioxide Nanowires (Type 2)	
Alfa Chemistry	Titanium Oxide Anatase Nanowires	100 nm, 10 nm
Nanochemazone	Titanium Oxide Anatase Nanowires	100 nm, 10 nm (Customizable)
Alfa Chemistry	Titanium Oxide Nanowires	10 nm or 100 nm
Alfa Chemistry	Titanium(IV) Oxide Nanowire	
Nanochemazone	Tungstate	30 nm (customization available)
Alfa Chemistry	Tungsten Dioxide Nanowires	
Alfa Chemistry	Tungsten Nanowires	
Alfa Chemistry	Tungsten Oxide Nanorods	40-60 nm
Alfa Chemistry	Tungsten Oxide Nanowire	20 nm
Nanochemazone	Tungsten Oxide Nanowire	20 nm (customization available)
Alfa Chemistry	Tungsten(VI) Oxide Nanowires	
Alfa Chemistry	Vanadium Oxide Nanowires	~ 40 nm
Alfa Chemistry	Vanadium oxide nanowires	~40nm
Nanochemazone	Vanadium Oxide Nanowires	~ 40 nm (Customization is possible)
Novarials Corporation	Vanadium oxide nanowires	~40nm
Alfa Chemistry	Zinc Oxide Nanorods	
Alfa Chemistry	Zinc Oxide Nanowire	50-120 nm
Nanochemazone	Zinc Oxide Nanowire	50 nm (customization available)
Alfa Chemistry	Zinc Oxide Nanowires	
Alfa Chemistry	Zinc Oxide Nanowires	70nm
Novarials Corporation	Zinc oxide nanowires	~50nm
Novarials Corporation	Zinc Oxide Nanowires	70nm
