Company,Diameter,Configuration,Specification
"Carbon Solutions, Inc.",,pure,"Purified, low functionality"
"Carbon Solutions, Inc.",,pure,"Purified, high functionality"
CD Bioparticles,,,
CD Bioparticles,,,
"Nano-C, Inc.",,pure,pre-purified
"Nano-C, Inc.",,pure,purified
"Nano-C, Inc.",,pure,as produced
Nanocs,,functionalized,C-SWNT-COOH
Nanocs,,functionalized,C-SWNT-NH2
Nanocs,,functionalized,C-SWNT-PEG
Nanocs,,functionalized,C-SWNT-SH
Nanocs,,film,Free-standing CNTs
Nanoshel,0.1-0.2 nm,Pure Carbon,SWCNT (>98wt% OD:1-2nm Length:3-8um High Purity)
NoPo Nanotechnologies Pvt Ltd,0.6-1 nm,,
Nanothinx S.A.,0.9-1.3nm,pure,
NanoLab,1-1.5nm,pure,
NanoLab,1-1.5nm,pure,
NanoLab,1-1.5nm,pure,
Nanoshel,1-2 nm,Pure Carbon,SWCNT (>98wt% OD:1-2nm Length:3-8um High Purity)
Nanoshel,1-2 nm,Surface Modified,SWCNT COOH (>98wt% OD:1-2nm Length:3-8um COOH:2-4Wt%)
Nanoshel,1-2 nm,Surface Modified NH2,Carbon Nanotube NH2 Modified (SWCNT Amine >98wt% OD:1-2nm Length:3-8um)
Nanochemazone,"1-2 nm (O.D), 0.8 -1.6 nm (I.D)",,Nanopowder/Nanodispersion
Nanochemazone,"1-2 nm (O.D), 0.8 -1.6 nm (I.D)",,Nanopowder/Nanodispersion
Nanochemazone,"1-2 nm (O.D), 0.8 -1.6 nm (I.D) Customization possible",,Nanopowder/Nanodispersion
Arry International Group,1-2nm,pure,
Arry International Group,1-2nm,functionalized,
Arry International Group,1-2nm,pure,
Arry International Group,1-2nm,pure,
Arry International Group,1-2nm,functionalized,
"Cheap Tubes, Inc.",1-2nm,functionalized,
"Cheap Tubes, Inc.",1-2nm,functionalized,
"Cheap Tubes, Inc.",1-2nm,pure,
"Cheap Tubes, Inc.",1-2nm,pure,
"Chengdu Alpha Nano Technology Co., Ltd.",1-2nm,pure,
"Chengdu Alpha Nano Technology Co., Ltd.",1-2nm,pure,
"Chengdu Alpha Nano Technology Co., Ltd.",1-2nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",1-2nm,functionalized,
Chengdu Organic Chemicals Co. Ltd.,1-2nm,pure,
Chengdu Organic Chemicals Co. Ltd.,1-2nm,pure,
Chengdu Organic Chemicals Co. Ltd.,1-2nm,pure,
Chengdu Organic Chemicals Co. Ltd.,1-2nm,pure,
"HeJi, Inc.",1-2nm,pure,
"HeJi, Inc.",1-2nm,pure,
"HeJi, Inc.",1-2nm,pure,
"HeJi, Inc.",1-2nm,pure,
IoLiTec,1-2nm,pure,
IoLiTec,1-2nm,pure,
IoLiTec,1-2nm,functionalized,
IoLiTec,1-2nm,functionalized,
IoLiTec,1-2nm,functionalized,
IoLiTec,1-2nm,functionalized,
IoLiTec,1-2nm,functionalized,
IoLiTec,1-2nm,functionalized,
Klean Commodities,1-2nm,functionalized,
Klean Commodities,1-2nm,pure,
Klean Commodities,1-2nm,pure,
Klean Commodities,1-2nm,functionalized,
Klean Commodities,1-2nm,pure,
Klean Commodities,1-2nm,pure,
Nanoshel,1-2nm,Surface Modified,Carbon Nanotubes Surface Modified OH (SWCNT>98wt% OD:1-2nm Length:3-8um OH:2-4Wt%)
Sisco Research Laboratories Pvt. Ltd.,1-2nm,pure,
Sisco Research Laboratories Pvt. Ltd.,1-2nm,functionalized,
Sisco Research Laboratories Pvt. Ltd.,1-2nm,pure,
Sisco Research Laboratories Pvt. Ltd.,1-2nm,functionalized,
Sisco Research Laboratories Pvt. Ltd.,1-2nm,pure,
"SkySpring Nanomaterials, Inc.",1-2nm,pure,
"SkySpring Nanomaterials, Inc.",1-2nm,pure,
"SkySpring Nanomaterials, Inc.",1-2nm,pure,
"SkySpring Nanomaterials, Inc.",1-2nm,pure,
"SkySpring Nanomaterials, Inc.",1-2nm,pure,
"SkySpring Nanomaterials, Inc.",1-2nm,pure,
"SkySpring Nanomaterials, Inc.",1-2nm,pure,
"SkySpring Nanomaterials, Inc.",1-2nm,pure,
"SkySpring Nanomaterials, Inc.",1-2nm,pure,
"SkySpring Nanomaterials, Inc.",1-2nm,pure,
"SkySpring Nanomaterials, Inc.",1-2nm,pure,
"SkySpring Nanomaterials, Inc.",1-2nm,pure,
Sun Innovations,1-2nm,pure,
Sun Innovations,1-2nm,functionalized,
Sun Innovations,1-2nm,functionalized,
Sun Innovations,1-2nm,pure,
XP Nano Material Co. Ltd.,1-2nm,pure,
Nanografi Nanotechnology Co. Ltd.,1.0 nm,,
Nanografi Nanotechnology Co. Ltd.,1.0 nm,,
Nanografi Nanotechnology Co. Ltd.,1.0 nm,,
Nanografi Nanotechnology Co. Ltd.,1.0 nm,,
Nanografi Nanotechnology Co. Ltd.,1.0 nm,,
Nanografi Nanotechnology Co. Ltd.,1.0 nm,,
Nanografi Nanotechnology Co. Ltd.,1.0 nm,,
Nanografi Nanotechnology Co. Ltd.,1.0 nm,,
Nanografi Nanotechnology Co. Ltd.,1.0 nm,,
Nanografi Nanotechnology Co. Ltd.,1.0 nm,,
Nanografi Nanotechnology Co. Ltd.,1.0 nm,,
Nanografi Nanotechnology Co. Ltd.,1.0 nm,,
Alfa Chemistry,1.2 nm-1.7 nm,,
Alfa Chemistry,1.2-1.4 nm,,
Alfa Chemistry,1.2-1.7 nm,,
Alfa Chemistry,1.2-1.7 nm,,
Alfa Chemistry,1.2-1.7 nm,,
Alfa Chemistry,1.2-1.7 nm,,
Alfa Chemistry,1.2-1.7 nm,,
Alfa Chemistry,1.2-1.7 nm,,
NanoIntegris Technologies,1.2-1.7nm,pure,
NanoIntegris Technologies,1.2-1.7nm,pure,
NanoIntegris Technologies,1.2-1.7nm,pure,
NanoIntegris Technologies,1.2-1.7nm,pure,
NanoIntegris Technologies,1.2-1.7nm,pure,
NanoIntegris Technologies,1.2-1.7nm,pure,
NanoLab,1.5nm,functionalized,
NanoLab,1.5nm,pure,
NanoLab,1.5nm,functionalized,
NanoLab,1.5nm,functionalized,
United Nanotech Innovations Pvt.Ltd,1.8�0.4 nm,Black powder,High aspect ratio- ~2000 SWCNT
United Nanotech Innovations Pvt.Ltd,1.8�0.4 nm,powder,High aspect ratio- ~2000
United Nanotech Innovations Pvt.Ltd,1.8�0.4 nm,powder,High aspect ratio- ~2000
Alfa Chemistry,10-20nm,,
Novarials Corporation,1~2nm (cotton),SWNT cotton,extremely fluffy nanotube cotton
Nanocyl S.A.,2 nm,pure,"CCVD, L(several)"
Nanocyl S.A.,2 nm,fonctionalized,"CCVD, C-SWNT-COOH, L(several)"
Nanocs,2-10nm,pure,
Nanoshel,2-3 nm,Electrical Grade SWCNT,"Electrical Conductivity Carbon Nanotubes (SWCNT, Purity:>99.9 wt% OD:2-3nm, Length:3-8um)"
TCI Europe,2nm,pure,
TCI Europe,2nm,pure,
Alfa Chemistry,30-50nm,,
Alfa Chemistry,30-50nm,,EC Number 231-153-3
Nanocs,40nm,pure,
Ultrananotech,5 nm to any diameter,,
Nanocs,60-100nm,pure,
IoLiTec,<2nm,pure,
IoLiTec,<2nm,pure,
MicrotechNano,<2nm,pure,
SES Research,<2nm,pure,
SES Research,<2nm,pure,
Sun Innovations,<2nm,pure,Aqueous Dispersion with Non-Ionic Surfactant; 1.6 wt%
Sun Innovations,<2nm,pure,
Novarials Corporation,<3nm (powder),,Industry scale supply
Alfa Chemistry,APS 10-100nm,,
Alfa Chemistry,below 3nm,,
Alfa Chemistry,OD: 1.2 nm-1.7 nm,,
Nanochemazone,"Outer diameter (1-2 nm), Inner Diameter (0.8-1.6 nm)",,Nanopowder/Nanodispersion
