Image,Laptop,,,,Quality Rating,CPU,,,,,Speed Rating,Memory/Storage,,Memory Rating,GPU ,,Connectivity ,,Operating System,Display,,,,Display Rating,Weight (Ibs),Hyperlink
laptop12,Acer ,Nitro,Gaming,649.97,7,Intel,Core i5,11400,6,2.7,6,8,512,6,NVIDIA GeForce,GTX 1650,Type C,3.5 mm headphone/speaker jack,Window 11,15.6,1920,1080,No,6,4.85,https://www.bestbuy.ca/en-ca/product/acer-nitro-5-15-6-gaming-laptop-black-intel-core-i5-11400h-512gb-ssd-8gb-ram-gtx-1650-windows-11/16036524
laptop13,Asus,vivoBook,Gaming,899.99,9,AMD,Ryzen 7 ,5800,8,3.2,8,16,512,5,NVIDIA GeForce,RTX 3050,Type A,3.5mm Combo Audio Jack; DC-in,window 11 home,15.6,1920,1080,no,6,3.59,https://www.bestbuy.ca/en-ca/product/Asus-vivobook-pro-oled-15-6-laptop-quiet-blue-amd-ryzen-7-5800h-512gb-ssd-16gb-ram-geforce-rtx-3050/16977357
laptop14,Lenovo,IdeaPad Slim,Student,799.99,9,Intel,Core i5,1335,10,1.3,2,16,512,7,Intel,Iris Xe Graphics,Type C; type A,Mic/Headphone jack,window 11 home,15.6,1920,1080,no,5,3.53,https://www.bestbuy.ca/en-ca/product/lenovo-ideapad-slim-3i-15-6-laptop-arctic-grey-intel-core-i5-1335u-512gb-ssd-16gb-ram-windows-11/16948051
laptop15,Lenovo,IdeaPad Slim,Student,519,9,Intel,Core i3,10110,4,3.4,7,8,256,5,‎Intel,UHD Graphics,Type A,headphone,window 11,15.6,1366,768,yes,4,2.23,https://www.amazon.ca/Lenovo-Ideapad-Touchscreen-i3-1115G4-Processor/dp/B08B6F1NNR/ref=sr_1_2_sspa?crid=19DUEHSSLQLI6&dib=eyJ2IjoiMSJ9.ee-WAcWUlH-7c4sZrQ1pTZ22DP58hkYfv9xuIUK0OYWna28Hg-UmvMLzfIypJgIN12QVscRtTTvADZJC1-Ty7YSG2YuaeTxE0Z-zi3RNeDA6OhJor1rPFlwGAtDpmAilTk9n2YTxF2exCROLe3oWXTqk-ehe8DVzKcg5Y5MAAe-YLjVJ7lEdkkDiniaQwUT8ELPst1gEo-sIuSSSIEYLtimx-0timOUjktrHMPRbeiMQQK6-bd7Tq1pACvcw-7-1cBOHEtSNO_3dQ8h3_Rc0-TqlcNBKBd2VbgpoTjM1u1E.B_RrKTEQ73eqiWPU9UpGjZlxU7yPL1bhKWGfB_fE3lw&dib_tag=se&keywords=laptop&qid=1714500606&refinements=p_72%3A11192170011%2Cp_36%3A50000-100000&rnid=12035759011&sprefix=lap%2Caps%2C461&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
laptop16,HP ,Victus,Student,799.99,9,AMD,Ryzen,7535,6,3.3,8,16,1000,5,NVIDIA GeForce,RTX 2050,Type C Type A,Headphone,window 11 home,15.6,1920,1080,no,6,5.05,https://www.bestbuy.ca/en-ca/product/hp-victus-15-6-gaming-laptop-mica-silver-amd-ryzen-5-7535hs-1tb-ssd-16gb-ram-geforce-rtx-2050-win-11/17177110
laptop17,HP,Full HP,Student,649.99,9,AMD,Ryzen ,7520,4,2.8,7,16,512,7,integrated,,Type A Type C,HDMI 1.4b,window 11,15.6,1920,1080,no,3,3.55,https://bestbuy.ca/en-ca/product/hp-15-6-full-hd-laptop-amd-ryzen-5-7520u-processor-16gb-ram-512gb-ssd-amd-radeon-graphics-bluetooth-wi-fi-windows-11-silver/17684265
laptop18,Dell,Inspiration 15,Student,749.99,8,Intel,Core i5,1135,4,2.4,4,8,256,5,Intel,UHD Graphics,Type A USB 3.2 Gen; USB 2.0,HDMI; Global Headset Jack,Windows 11,15.6,1920,1090,Yes,4,3.64,https://www.bestbuy.ca/en-ca/product/dell-inspiron-15-3520-15-6-touchscreen-laptop-carbon-black-intel-core-i5-1135g7-256gb-ssd-8gb-ram-win11/17152756
laptop19,HP,HP Laptop,Student,799.99,8,Intel,Core i7,1255,10,4.7,10,16,1000,8,Intel,Iris Xe Graphics,Type C; Type A,HDMI; AC Smart Pin; HDMI,Windows 11,15.6,1920,1080,No,6,3.75,https://www.bestbuy.ca/en-ca/product/hp-15-6-laptop-natural-silver-intel-core-i7-1255u-1tb-ssd-16gb-ram-windows-11-home/17210547
laptop20,Asus,TUF Gaming A15,Gaming,1599.99,10,AMD,Ryzen,9,8,4,9,16,1000,8,NVIDIA GeForce,RTX 4070,Type C,RJ45; HDMI ,Windows 11,15.6,2560,1440,No,7,4.85,https://www.bestbuy.ca/en-ca/product/Asus-tuf-gaming-a15-15-6-wqhd-165hz-3ms-gaming-laptop-amd-ryzen-9-7940hs-1tb-sdd-16gb-ram-rtx-4070/16693539
laptop21,HP,15-fd0018ca,Professional,1299.99,7,Intel,Core i7,13355,10,3.7,9,16,1000,8,Intel,Iris Xe Graphics,Type C; Type A,HDMI,Windows 11,15.6,1920,1080,Yes,7,3.51,https://www.bestbuy.ca/en-ca/product/hp-15-6-touchscreen-laptop-natural-silver-intel-core-i7-1355u-1tb-ssd-16gb-ram-windows-11-home/16938170
laptop22,Acer ,Nitro 5,Gaming,1199.99,9,Intel,Core i7,12650,10,3.5,9,16,512,7,NVIDIA GeForce,RTX 4050,Type C; USB 3.2 Gen,HDMI,Windows 11,15.6,1920,1080,No,7,5.51,https://www.bestbuy.ca/en-ca/product/acer-nitro-5-15-6-gaming-laptop-black-intel-ci7-12650h-512gb-ssd-16gb-ram-geforce-rtx-4050-win11/17224413
laptop23,MSI,Cyborg 15,Gaming,1049.99,8,Intel,Core i5,12450,8,3.3,8,8,512,6,NVIDIA GeForce,RTX 2050,USB 3.2 Gen,Diaplay Port 4K @ 60Hz,Windows 11,15.6,1920,1080,No,7,4.37,https://www.bestbuy.ca/en-ca/product/msi-cyborg-15-a12u-15-6-gaming-laptop-black-intel-core-i5-12450h-512gb-ssd-8gb-ram-geforce-rtx-2050/17539021
laptop24,Apple,Macbook,Professional,1299.99,10,Apple,M,2,8,2.42,5,8,256,5,integrated,,Thunderbolt 3/USB4,MagSafe Charing ,macOS,13.6,2560,1664,No,7,2.73,https://www.bestbuy.ca/en-ca/product/apple-macbook-air-13-6-w-touch-id-2022-midnight-apple-m2-chip-256gb-ssd-8gb-ram-english/16282196
laptop25,Dell,Inspiron 15,Professional,1149.95,9,Intel ,Core i7,1255,10,3.5,9,16,1000,8,Intel,Iris Xe Graphics,Type A; 1 USB 2.0,HDMI,Windows 11,15.6,1920,1080,No,5,3.64,https://www.bestbuy.ca/en-ca/product/dell-inspiron-15-3520-15-6-laptop-carbon-black-intel-core-i7-1255u-1tb-ssd-16gb-ram-win-11/17090100
laptop26,Microsoft,Go 3,Professional,1099.99,7,Intel,Core i5,1235,10,3.3,8,8,512,7,integrated,,USB -A; USB 3.1; USB C; USB 3.2,Surface Connect,Windows 11,12.45,1536,1024,Yes,6,4.85,https://www.bestbuy.ca/en-ca/product/microsoft-surface-laptop-go-3-12-45-touchscreen-laptop-sandstone-intel-i5-1235u-256gb-ssd-8gb-ram-exclusive-retail-partner/17212075
laptop27,Lenovo,IdeaPad Slim 3i,Professional,1199.99,9,Intel,Core i7,1355,10,3.7,9,16,512,7,Intel,Iris Xe Graphics,USB3.2 Gen1 Type A; USB 3.2 Gen 1 Type C,Mic/Headphone jack,Windows 11,15.6,1920,1080,No,5,3.53,https://www.bestbuy.ca/en-ca/product/lenovo-ideapad-slim-3i-15-6-laptop-arctic-grey-intel-core-i7-1355u-512gb-ssd-16gb-ram-windows-11/16948052
laptop28,Microsoft,Surface Laptop 5,Professional,1799.99,9,Intel,Core i5,1235,10,3.3,8,8,512,6,Intel,Iris Xe Graphics ,USB A; USB C; USC 4.0/Thunderbolt 4,HP/mic jack,Windows 11,13.5,2256,1504,Yes,8,2.86,https://www.bestbuy.ca/en-ca/product/microsoft-surface-laptop-5-touchscreen-13-5-sandstone-intel-evo-i5-1235u-512gb-ssd-8gb-ram-en-exclusive-retail-partner/16483501
laptop29,Lenovo,ThinkPad E16,Professional,1499.99,9,Intel,Core i7,1355,10,3.7,9,16,512,7,Intel,Iris Xe Graphics,USB 2.0; USB 3.2; USB-C 3.2,HDMI,Windows 11,16,1920,1200,No,8,4.34,https://www.bestbuy.ca/en-ca/product/lenovo-thinkpad-e16-gen-1-16-laptop-graphite-black-intel-core-i7-1355u-512gb-ssd-16gb-ram-win11/17211413
laptop30,Apple,Macbook,Professional,2599.95,10,Apple,M,2,10,3.5,8,16,512,7,integrated,,3 x Thunderbolt 4/USB 4,1 x HDMI,macOS,14.2,3024,1964,no,8,3.53,https://www.bestbuy.ca/en-ca/product/apple-macbook-pro-14-2023-space-grey-apple-m2-pro-512gb-ssd-16gb-ram-english/16670269
laptop31,MSI,Stealth 16,Gaming,3299,8,Intel,Ultra 9,185,16,2.3,5,32,2000,10,NVIDIA GeForce,RTX 4070,1 x USB Type-C,1 x HDMI,Windows 11,16,2560,1600,no,8,4.39,https://www.walmart.ca/en/ip/msi-stealth-16-ai-studio-a1vgg-049ca-16-qhd-240hz-ultra-thin-and-light-gaming-laptop-intel-core-ultra9-185h-rtx-4070-32gb-ddr5-2tb-nvme-ssd-win-11-sta/42JFEGNIDQB9
laptop32,Asus,ROG Zephyrus,Gaming,2898,9,AMD,Ryzen,9,8,4,9,16,1000,8,NVIDIA GeForce,RTX 4070,USB 3.2 Gen2 Type-A ports; ,dual USB-C ports;HDMI 2.1; and UHS-II MicroSD .,WIndows 11,14,3840,2160,Yes,10,3.31,https://www.amazon.ca/Asus-Zephyrus-Gaming-Laptop-GA403UI-DS91-CA/dp/B0CSDZYNWR/ref=sr_1_44?dib=eyJ2IjoiMSJ9.lEkpmsQyndYFJ8WkbMJ91tYpH_tklaAZulPGiNLh7a4beIhdlJ90RFAfvaujpy6asjJVJDBa366gtcRyT7wySfR5W4l4QlLzaTYeGh4vNoW7i6a3o_EbFYeKOiw0hswzH7_z9hKIvXZkDV3KvYdTF3U2jM44VyyruhBPxZZF2ppmuPpUCtwTSNBqlmU12TF55-KcRrikEhyBu3ymm5KNAWRg-nTCYPsgLlNmP3E6EURT3z6p8Gy3UKfCutNpzRw9midS2sUtxAluJR-TpwoDnwMmgW85VKQHcIVDzW98ImM.DE_JTqPjviB5vSd1aRsThj8sSc1LtRUcvhOl01i0_Lo&dib_tag=se&fst=as%3Aoff&m=A3DWYIK6Y9EEQB&qid=1714434876&refinements=p_6%3AA3DWYIK6Y9EEQB&rnid=12035754011&s=electronics&sr=1-44
laptop33,Lenovo,Legion Slim,Gaming,2199.99,10,Intel,Core i9,13900,14,2.6,5,16,1000,8,integrated,,USB 3.2 Gen 2 (DP 2.0 + PD 140W); USB 3.2 Gen 2 (DP 1.4 + PD 140W),one shared mic/headphone jack for connecting monitor,Windows 11,16,2560,1600,no,8,4.41,https://www.bestbuy.ca/en-ca/product/lenovo-legion-slim-7i-16-gaming-laptop-storm-grey-intel-i9-13900h-1tb-ssd-16gb-ram-geforce-rtx-4070/17083120
laptop34,Acer,Predator Helios 16,Gaming,2299.98,9,Intel,Core i7,13700,16,2.1,4,16,1000,8,NVIDIA GeForce,RTX 4060,2 x USB Type-C,1 x HDMI,Windows 11,16,2560,1600,no,9,6.39,https://www.walmart.ca/en/ip/predator-helios-16-ph16-71-71av-16-qhd-ips-165hz-gaming-laptop-abyss-black/4Y2Q4EBMHK0I
laptop35,Apple,Macbook,Professional,2349.99,9,Apple,M,3,8,4.05,9,8,2000,7,Liquid Retina,XDR,two Thunderbolt/USB 4 ports,MagSafe charging port;  an SDXC card slot; an HDMI port and a headphone jack,MacOS,14.2,3024,1964,no,9,3.54,https://www.amazon.ca/Apple-MacBook-Laptop-8%E2%80%91core-10%E2%80%91core/dp/B0CM5KC8X7/ref=sr_1_43?dib=eyJ2IjoiMSJ9.wz0flA6254N6KdRJAqCvdVn7rzGu36KN0PsA4CULjShcw29EDNvdTM0hBle5Ku0Mi5BBGGF9EHqmvtU2DIqieXlqXqp9tFoewaywBXixsMIyYiFvebEtLUpqOdhmf8R9ZyKNTTMjeNtnBU4KaB3etunzLE4-nyKHtbLFBwHr5XOZy6Tc2B_PFXSICSO8pC85ycr7fcyM1IugscAvPIB16qoEX6oiZhliPiJ7CaohtGCHoR6W2RVX6r3O-aKeO3TXNSDHc84z3sxowzNRDPqjVXbmRNBn4KhOPRRVlJQrQ6k.s31dVM65ADh8-LK2-NqFHVkaLsIOldGLMssbWBup7ew&dib_tag=se&fst=as%3Aoff&m=A3DWYIK6Y9EEQB&qid=1714500554&refinements=p_6%3AA3DWYIK6Y9EEQB&rnid=12035754011&s=electronics&sr=1-43
laptop36,Asus,Zenbook DUO 14,Professional,2199.99,10,Intel,Ultra 7,155,16,1.4,2,16,1000,8,integrated,,1 x USB 3.2 Gen 1,Type-A; 2 x Thunderbolt 4 supports display / power delivery,Windows 11,14,1920,1200,yes,10,3.64,https://www.bestbuy.ca/en-ca/product/Asus-zenbook-duo-14-oled-touchscreen-laptop-grey-intel-core-ultra-7-evo-1tb-ssd-16gb-ram-en/17716235
laptop37,MSI,Stealth 16,Gaming,2199.95,10,Intel,Core i9,13900,14,2.6,5,32,1000,9,NVIDIA GeForce,RTX 4060,1 x Thunderbolt 4 w/DP&PD; 1 x USB 3.2 Gen 2/DP; 1 x USB 3.2 Gen2,"
1 x HDMI",Windows 11,16,1920,1200,no,9,4.19,https://www.bestbuy.ca/en-ca/product/msi-stealth-16-studio-16-gaming-laptop-star-blue-intel-core-i9-13900h-1tb-32gb-ram-geforce-rtx-4060/17224304
laptop38,Dell,Alienware m18,Gaming,3499.99,9,Intel,Core i9,13900,24,2.2,5,32,1000,9,NVIDIA GeForce,RTX 4080,1 x USB 3.2 Type-C Gen 1 with PowerShare (Side); 2 x USB 3.2 Gen 1 (Side); 1 x USB 3.2 Gen 1 (Rear); 2 x Thunderbolt 4 (Rear),1 x mini-Display,Windows 11,18,1920,1200,no ,9,8.91,https://www.bestbuy.ca/en-ca/product/dell-alienware-m18-18-gaming-laptop-dark-metallic-moon-intel-ci9-13900hx-1tb-ssd-32gb-ram-geforce-rtx-4080/17182563
laptop39,Asus,ROG Strix G18,Gaming,2499.99,10,Intel,Core i9,14900,24,2.2,5,32,1000,9,NVIDIA GeForce,RTX 4060,1 x Thunderbolt 4 support DisplayPort; 1 x USB 3.2 Gen 2 Type-C support DisplayPort / power delivery / G-SYNC; 2 x USB 3.2 Gen 2 Type-A,"1x HDMI 2.1 FRL;1 x RJ45 LAN port;1 x 3.5mm Combo Audio Jack
Networking",Windows 11,18,2560,1600,no,9,6.83,https://www.bestbuy.ca/en-ca/product/Asus-rog-strix-g18-18-gaming-laptop-eclipse-grey-intel-core-i9-14900hx-1tb-ssd-32gb-ram-geforce-rtx-4060/17700713
